file,mode,entry,n,rmse,p99,max,solve_calls,solve_mean_ms,solve_max_ms
tabletop_servo_20260916_150937_394611035.json,mpc_shadow,27,315,1.1085753368998024,2.546785361428951,2.9020015869140536,657,5.061254769640222,10.604911018162966
tabletop_servo_20260916_161007_195575844.json,mpc_active,33,315,0.727149676568182,1.7867012805175773,2.367166239420584,663,2.2606751333703015,6.744557060301304
tabletop_servo_20260916_161804_427508716.json,mpc_shadow,30,315,1.1253448647719064,2.585715382350144,2.9729984130859464,660,5.208632860784277,10.562781011685729
tabletop_servo_20260916_161842_290824538.json,mpc_active,30,315,0.7254745450452338,1.7945221922108656,2.5795001220703,660,2.1065981296653096,6.766179110854864
tabletop_servo_20260916_161957_559208120.json,mpc_shadow,30,315,1.049129486048585,2.45956033203125,2.869000671386715,660,4.050985201628822,10.188587009906769
tabletop_servo_20260916_162057_54388464.json,mpc_active,30,315,0.7146208545192226,1.7797598896789557,2.5569992065429688,660,2.160938724409789,5.779728991910815
tabletop_servo_20260916_162340_144861635.json,mpc_shadow,30,315,1.1333409629247853,2.5869001684354256,2.9510028686523526,660,4.890374860825074,9.996286127716303
tabletop_servo_20260916_162429_177216570.json,mpc_shadow,30,315,1.1005638210563793,2.5429945528508604,2.968003173828123,660,5.2224573167746495,10.926279937848449
tabletop_servo_20260916_162614_575109989.json,mpc_shadow,30,315,1.125540751313395,2.546923400573739,2.845496398925775,660,5.30246250140904,10.749603156000376
tabletop_servo_20260916_162706_519367266.json,mpc_active,30,315,0.7354011390885777,1.7979571068012612,2.3999996185302734,660,2.1760951600630176,6.608060095459223
